_id_,comp_externo1,comp_externo2,comp_externo3,comp_externo4
34734,217.3913043,21.54553289,81,-230
98330,156.5217391,15.51278368,109,-230
37816,75.36231884,7.46911807,74,-230
47629,283.1014493,28.0580293,108,-230
7657,269.5652174,26.71646079,82,-230
87482,460.8695652,45.67652973,61,-230
91552,205.7971014,20.39643781,125,-230
73294,121.7391304,8.043665613,120,-230
45950,289.8550725,28.72737719,73,-230
72090,486.9565217,48.26199368,-41,-230
57619,209.2753623,20.74116633,77,-229
31750,404.3478261,40.07469118,117,-230
26504,521.7391304,41.36742315,99,-230
91269,339.1304348,33.61103131,127,-230
70014,562.3188406,0.861821316,88,-230
19637,347.826087,6.03274921,100,-230
33101,156.8115942,15.54151106,87,-230
48672,28.98550725,2.872737719,91,-230
5420,-608,-230,,
25963,39.13043478,3.878195921,113,-230
64944,434.7826087,43.09106579,31,-230
20688,665.2173913,65.49841999,123,-230
92545,288.6956522,8.005170928,127,-230
53018,33.91304348,2.872737719,142,-230
65836,217.3913043,21.54553289,59,-230
37235,115.942029,53,-229,
23170,405.2173913,32.08848032,106,-230
48774,229.1304348,22.70899167,118,-230
69601,1457.971014,144.4987073,124,-230
20893,347.826087,34.47285263,113,-230
68841,84.05797101,8.330939385,52,-230
91465,552.173913,54.72565355,84,-230
85707,663.7681159,65.78569377,65,-230
76783,2898.550725,287.2737719,102,-230
62998,144.9275362,8.043665613,121,-230
2486,115.942029,9.623671359,94,-230
71786,86.95652174,128,-230,
44547,1101.449275,109.1640333,106,-230
98102,997.6811594,98.87963229,111,-230
52968,529.1304348,18.96006895,79,-230
85577,60.86956522,6.03274921,61,-230
2386,57.97101449,5.745475438,84,-230
5775,280.4347826,27.79373743,78,-230
41691,10.43478261,1.034185579,97,-230
72113,26.37681159,2.614191324,36,-230
79555,48.69565217,4.021832807,43,-230
17970,318.8405797,28.72737719,129,-230
17399,58.25507246,61,-229,
54595,284.057971,28.15282965,134,-230
97435,1330.434783,131.8586613,110,-230
95550,511.3043478,50.67509336,91,-230
78465,28.98550725,2.872737719,62,-229
41270,168.115942,16.66187877,104,-230
85852,950.7246377,94.22579718,95,-230
94410,1888.985507,187.2163172,125,-230
59388,185.5072464,16.66187877,67,-230
45551,156.5217391,15.51278368,42,-230
86465,191.3043478,18.96006895,111,-230
38903,28.98550725,2.872737719,66,-230
11253,289.8550725,28.72737719,83,-230
461,88.98550725,6.03274921,128,-230
38648,177.3913043,13.51335823,81,-230
50261,234.7826087,23.26917552,123,-230
51101,156.5217391,15.51278368,96,-230
16965,713.0434783,70.66934789,124,-230
22010,107.2463768,6.004021833,110,-230
3791,76.52173913,68,-229,
21779,121.7391304,12.06549842,79,-230
38249,34.72463768,128,-230,
69486,57.50724638,5.699511635,84,-230
44649,354.6202899,35.14622235,-58,-229
33487,57.97101449,131,-230,
57432,250.1449275,13.21459351,129,-230
70402,888.4057971,88.04941109,122,-230
94341,888.115942,88.02068371,127,-230
36152,460.6376812,45.65354783,94,-230
35487,68.4057971,6.779661017,129,-230
31512,425.2173913,42.14306234,20,-230
48929,43.47826087,3.447285263,126,-230
91772,202.8985507,7.066934789,4,-230
56240,284.057971,28.15282965,68,-230
38062,55.07246377,5.458201666,106,-230
80568,724.6376812,71.81844298,91,-230
38449,299.7101449,14.3636886,46,-230
3523,43.47826087,4.309106579,117,-230
90297,405.7971014,40.21832807,105,-230
71789,330.4347826,32.74921,1,-230
15659,124.6376812,12.35277219,109,-230
56781,60.57971014,6.004021833,128,-230
46685,512.4637681,50.79000287,125,-230
86273,508.6956522,50.41654697,-31,-230
89222,150.7246377,14.93823614,107,-230
84237,533.3333333,52.85837403,124,-230
58746,6.376811594,99,-230,
55029,45.2173913,4.309106579,92,-230
97870,83.47826087,8.273484631,97,-230
36551,289.8550725,14.93823614,127,-230
77877,0.014492754,128,-230,
9631,217.3913043,21.54553289,84,-230
15724,59.42028986,5.889112324,43,-229
14269,113.0434783,95,-230,
51086,-608,-230,,
9911,127.5362319,1.149095088,42,-230
92984,796.5449275,66.36024131,125,-230
38175,182.6086957,18.09824763,-6,-230
3611,863.7681159,85.60758403,129,-230
4414,136.2318841,13.50186728,107,-230
84646,101.4492754,4.309106579,129,-230
33448,820.2898551,81.29847745,85,-230
65346,2.898550725,78,-229,
67920,489.8550725,48.54926745,96,-230
81647,119,-230,,
62913,241.7391304,120,-230,
22645,378.2608696,37.48922723,106,-230
24375,347.826087,12.92731974,129,-230
72523,579.7101449,57.45475438,115,-230
67928,217.3913043,21.54553289,100,-230
82891,188.5217391,18.68428612,122,-230
58584,875.3623188,20.10916403,80,-230
83438,788.4057971,78.13846596,127,-230
75572,82.60869565,8.187302499,139,-230
33195,115.942029,11.49095088,119,-230
17793,571.0144928,56.59293307,86,-230
11949,1334.492754,132.2608446,130,-230
12592,718.8405797,71.24389543,124,-230
22917,95.65217391,9.480034473,114,-230
5265,59.42028986,133,-230,
93346,443.4782609,43.09106579,129,-230
63099,430.4347826,42.66015513,132,-230
23489,278.2608696,27.5782821,56,-230
58790,988.4057971,71.81844298,77,-230
18505,433.0434783,42.91870152,79,-230
20433,182.6086957,18.09824763,98,-230
871,-609,9999999770,,
3127,327.5362319,32.46193623,101,-230
96498,704.3478261,67.94024706,132,-230
45992,710.1449275,65.49841999,113,-230
87307,504.6376812,50.01436369,127,-230
7812,121.7391304,12.06549842,106,-230
56514,146.3768116,14.50732548,77,-230
52523,220.2898551,21.83280666,80,-229
53562,1219.565217,120.8704395,119,-230
47920,262.057971,25.97242172,106,-230
73830,191.3043478,9.480034473,115,-230
88307,237.6811594,7.46911807,111,-230
11029,724.6376812,12.20913531,99,-230
94209,1336.231884,132.4332088,132,-230
16603,202.8985507,20.10916403,70,-230
81309,420.2898551,36.19649526,75,-230
70868,153.6231884,90,-230,
90992,2228.985507,220.9135306,123,-230
38179,60.86956522,6.03274921,59,-229
28571,42.02898551,4.165469693,63,-229
28805,75.36231884,7.46911807,73,-229
46434,130.4347826,11.49095088,74,-230
51040,176.7913043,17.52168917,68,-230
72742,342.0289855,33.89830508,58,-230
62557,840.5797101,83.30939385,108,-230
60803,484.057971,31.60011491,87,-230
85143,156.5217391,15.51278368,80,-230
53172,724.6376812,50.84171215,132,-230
85280,591.0144928,58.57512209,134,-230
86115,452.173913,44.81470842,68,-230
69071,121.7391304,12.06549842,127,-230
3937,72.46376812,7.181844298,57,-230
30541,66.66666667,6.607296754,94,-230
85519,460.8695652,45.67652973,127,-230
89602,823.1884058,81.58575122,96,-230
91158,892.7536232,88.48032175,127,-230
38741,282.6086957,28.00919276,119,-230
56595,144.9275362,10.91640333,60,-229
80298,1152.753623,114.2487791,51,-230
72678,93,-230,,
59345,-609,9999999770,,
68861,1208.695652,119.7931629,112,-230
73455,73.91304348,118,-230,
5316,66.66666667,6.607296754,69,-229
30776,724.9855072,57.45475438,51,-230
76290,20.28985507,2.010916403,84,-229
71740,1543.478261,152.9732835,107,-230
75809,905.7971014,89.77305372,35,-229
61530,608.6956522,60.3274921,122,-230
33332,-608,-230,,
90466,724.6376812,71.81844298,62,-230
88771,217.3913043,21.54553289,69,-230
93410,266.6666667,26.42918702,118,-230
86765,478.2608696,108,-230,
63,292.173913,28.95719621,31,-230
26522,33.33333333,3.303648377,98,-230
19177,246.3768116,24.41827061,43,-230
29463,310.1449275,30.73829359,93,-230
47664,284.057971,28.15282965,128,-230
62089,140.8695652,9.480034473,121,-230
94637,434.4927536,43.06233841,131,-230
66156,144.9275362,12.06549842,132,-230
44758,-608,9999999770,,
25383,144.9275362,14.3636886,46,-230
30599,43.47826087,4.309106579,128,-230
29544,614.4927536,24.41827061,124,-230
70257,76,-230,,
29021,139.1304348,10.68658431,79,-230
12604,942.0289855,93.36397587,35,-230
4320,2898.550725,25.85463947,112,-230
25590,63.47826087,6.291295605,106,-230
82283,75.36231884,7.46911807,96,-230
56844,272.4637681,27.00373456,84,-230
40162,579.7101449,28.72737719,122,-230
52183,313.0434783,31.02556737,98,-230
69479,343.9130435,34.08503304,26,-230
87184,118.7826087,11.77247917,131,-230
31915,86.95652174,8.618213157,121,-230
17570,5.797101449,0.574547544,-608,9999999770
81740,1475.942029,146.2798047,123,-230
1567,57.97101449,5.745475438,82,-230
72547,17.39130435,1.723642631,111,-230
15552,842.0289855,83.45303074,131,-230
18278,150.7246377,5.745475438,77,-230
72712,115.942029,11.49095088,82,-230
73171,608.6956522,48.54926745,132,-230
57242,1080.434783,107.0812985,92,-230
70629,649.2753623,64.34932491,114,-230
68112,162.3188406,16.08733123,107,-230
97151,347.826087,23.87245045,108,-230
34072,194.2028986,19.24734272,126,-230
1408,217.3913043,21.54553289,119,-230
80275,385.3623188,38.19304797,115,-230
97590,724.6376812,51.27836828,90,-230
30740,-609,9999999770,,
39176,-608,9999999770,,
11789,171.1942029,16.96696352,67,-230
48734,891.5942029,88.36541224,93,-230
36350,234.7826087,20.10916403,86,-230
64047,427.826087,42.40160873,105,-230
75494,1681.15942,51.42200517,123,-230
49009,-608,9999999770,,
64203,144.9275362,14.3636886,123,-230
48694,75.36231884,7.46911807,71,-230
74340,436.2318841,43.23470267,95,-230
40502,150.7246377,14.93823614,118,-230
74620,42.02898551,4.165469693,98,-230
48161,215.5072464,21.35880494,84,-230
650,579.7101449,14.3636886,81,-230
37823,166.6666667,16.51824188,80,-230
75819,153.3333333,15.19678253,109,-230
20874,43.47826087,132,-230,
54386,286.3768116,28.38264866,108,-230
49357,11.5942029,1.149095088,86,-230
29100,868.6956522,86.09594944,-29,-230
84109,2455.072464,243.3208848,114,-230
54986,579.7101449,57.45475438,110,-230
79267,31.88405797,0.861821316,72,-230
31101,318.8405797,31.60011491,131,-230
94071,423.1884058,41.9419707,84,-230
16640,345.2173913,34.21430623,22,-230
50684,17.39130435,-608,9999999770,
61240,550.7246377,54.58201666,84,-230
94227,453.9130435,44.98707268,94,-230
89220,237.6811594,121,-230,
31470,147.826087,14.65096237,55,-230
78651,1111.594203,110.1694915,96,-230
64727,-609,9999999770,,
43795,46.37681159,4.59638035,-608,9999999770
31740,89.85507246,8.905486929,112,-230
7952,289.8550725,28.72737719,51,-230
75899,1064.637681,105.5156564,119,-230
93201,1495.652174,148.2332663,81,-230
68613,44,-230,,
71809,371.0144928,36.7710428,99,-230
73212,1884.057971,186.7279517,125,-230
10545,188.4057971,18.67279517,125,-230
90447,-609,9999999770,,
77429,28.98550725,2.872737719,61,-230
74114,1980.289855,196.265441,121,-230
78000,101.4492754,121,-230,
9939,1262.318841,125.1077277,75,-230
51777,298.5507246,29.58919851,113,-230
84778,217.3913043,20.97098535,40,-229
26375,53.62318841,5.31456478,38,-229
61371,617.1014493,61.16058604,122,-230
23364,113.0434783,11.2036771,105,-230
88310,510.4347826,129,-230,
756,930.4347826,92.21488078,97,-230
30644,1196.521739,118.586613,48,-230
310,750.1449275,20.10916403,126,-230
69807,585.5072464,58.02930192,132,-230
30771,926.6666667,91.84142488,75,-230
38289,568.6956522,56.36311405,127,-230
3677,14.49275362,-608,9999999770,
59243,115.942029,6.03274921,128,-230
