_id_,fecha_inicio,comp_interno1,comp_interno2,comp_interno3,comp_interno4,categoria1,categoria2,categoria3,comp_externo1,comp_externo2,comp_externo3,comp_externo4
92312,12/01/2021,8105.369807,b'1',22,70,3,9,167,765.2173913,75.84027578,132,-230
94588,24/02/2021,0,b'1',1,71,3,9,146,951.7217391,67.22206263,98,-230
2484,08/04/2016,0,b'1',6,68,3,3,151,202.8985507,20.10916403,107,-230
73156,06/11/2019,911.8541033,b'1',25,71,2,9,170,747.826087,31.45647802,134,-230
65422,07/10/2019,0,b'1',1,54,1,9,146,200,19.82189026,123,-230
91782,14/12/2020,0,b'0',27,39,2,5,172,118.2608696,11.72076989,131,-230
20268,29/11/2016,1215.805471,b'1',6,73,3,9,151,1159.42029,114.9095088,129,-230
12676,18/07/2016,810.5369807,b'1',24,55,1,9,169,94.20289855,9.336397587,60,-230
13606,14/09/2016,0,b'1',1,43,3,9,146,265.3913043,26.30278656,87,-230
21152,13/12/2016,0,b'1',19,46,3,9,164,57.97101449,5.745475438,91,-230
59310,04/03/2019,0,b'1',4,54,2,6,149,918.8405797,91.06578569,118,-230
71362,23/10/2019,0,b'0',14,50,1,9,159,86.95652174,8.618213157,117,-230
7596,22/07/2016,0,b'0',19,49,4,6,164,250.7246377,24.84918127,129,-230
40061,19/12/2017,0,b'0',17,40,1,9,162,269.8550725,26.74518816,75,-230
97397,08/04/2021,0,b'0',19,64,4,9,164,858.8405797,85.11921862,134,-230
31295,14/02/2018,0,b'1',19,63,3,3,164,585.5072464,0.002585464,92,-230
374,02/03/2016,0,b'0',14,48,1,9,159,169.2753623,16.77678828,85,-230
71079,17/12/2019,0,b'0',15,75,1,9,160,205.7971014,20.39643781,53,-230
69583,22/08/2019,0,b'0',31,43,1,7,176,948.6956522,94.02470554,50,-230
72454,25/02/2020,0,b'1',19,43,3,9,164,46.37681159,4.59638035,80,-230
54444,12/11/2018,0,b'0',14,43,3,6,159,41.15942029,4.079287561,46,-230
36352,28/02/2018,1519.756839,b'1',19,57,3,9,164,57.97101449,5.745475438,27,-230
